timestamp_date,PnL_each_date,PnL_per_date
24-03-07,-20386.605610001832,-20386.605610001832
24-03-08,-9023092.027069995,-9023092.027069995
24-03-09,210092.89798001945,189706.29237001762
24-03-10,-16340904.230229972,-25363996.257299967
24-03-11,-17278744.866240006,-17089038.57386999
24-03-12,17418301.814789973,-7945694.442509992
24-03-13,-2305510.6612500753,-19394549.235120066
24-03-14,-7824237.382540038,-15769931.825050032
24-03-15,21824348.092460018,2429798.857339954
24-03-16,17689273.462779976,1919341.6377299428
24-03-17,-400973.8581800293,2028824.9991599247
24-03-18,60047.84072998818,1979389.478459931
24-03-19,-1179478.1211599715,849346.8779999532
24-03-21,-16908961.234529994,-14929571.756070063
24-03-22,-14483684.594770012,-13634337.716770058
24-03-23,-12256458.974290006,-27186030.73036007
24-03-24,12970259.828399999,-664077.8883700594
24-03-25,27570490.02613001,384459.29576994013
24-03-26,-12616213.312179994,-13280291.200550053
24-03-27,-678131.0641799923,-293671.76841005124
24-03-28,10083956.13929001,-3196335.0612600422
24-03-29,-4941235.41523999,-5234907.183650041
24-03-30,-3098523.3859899947,-6294858.4472500365
24-03-31,497523.7128200049,-4737383.470830035
